Species,Plot,Subplot,Core,Light_ISF,Light_Cat,Soil,Sterile,Conspecific,Myco,SoilMyco,AMF,EMF,Phenolics,Lignin,NSC,Time,Event
Acer saccharum,6,E,2016,0.091,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,19.97,,-0.49,13.95,12.21,52.5,1.0
Acer saccharum,6,B,2016,0.092,Med,Sterile,Sterile,Sterilized,AMF,Sterile,7.44,,0.05,12.6,12.31,52.5,1.0
Quercus rubra,17,D,2017,0.118,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,18.02,32.03,3.59,23.47,16.34,115.5,0.0
Acer saccharum,6,B,2017,0.092,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,14.46,,0.19,14.11,12.06,52.5,1.0
Acer saccharum,6,D,2016,0.09,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,21.41,,-0.61,14.01,12.25,52.5,1.0
Quercus rubra,7,A,2016,0.078,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,17.85,31.56,3.66,20.58,18.28,52.5,1.0
Quercus alba,17,B,2017,0.111,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,11.41,25.02,4.83,18.29,23.49,115.5,0.0
Quercus rubra,7,A,2017,0.078,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,16.51,46.08,3.19,26.99,13.03,52.5,1.0
Quercus rubra,17,D,2017,0.118,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,18.33,36.34,3.89,21.12,17.85,115.5,0.0
Quercus rubra,7,E,2016,0.075,Low,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,21.05,29.98,3.54,27.22,14.22,52.5,1.0
Quercus rubra,7,E,2016,0.075,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,17.06,34.36,3.62,20.43,18.29,52.5,1.0
Quercus rubra,7,B,2016,0.079,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,21.06,23.63,3.76,23.34,16.57,52.5,1.0
Quercus rubra,7,D,2017,0.08,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,20.81,46.97,3.8,26.87,14.65,52.5,1.0
Quercus rubra,8,C,2017,0.061,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,29.94,33.73,3.92,27.32,15.07,52.5,1.0
Quercus rubra,8,D,2016,0.063,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,16.37,28.29,3.7,20.45,18.49,52.5,1.0
Acer saccharum,8,B,2017,0.066,Low,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,18.87,,-0.65,13.64,11.99,52.5,1.0
Quercus rubra,10,D,2017,0.06,Low,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,18.89,26.13,3.85,21.66,17.66,52.5,1.0
Quercus rubra,10,B,2017,0.072,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,22.07,28.17,3.83,22.69,16.83,52.5,1.0
Quercus rubra,10,D,2016,0.06,Low,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,18.89,26.13,3.85,21.66,17.66,52.5,1.0
Quercus alba,11,A,2017,0.068,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,16.88,35.95,3.73,19.55,19.36,52.5,1.0
Quercus alba,11,A,2016,0.068,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,21.72,38.52,4.52,22.0,17.55,52.5,1.0
Quercus rubra,11,A,2017,0.068,Low,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,20.27,30.37,3.51,27.39,13.87,52.5,1.0
Acer saccharum,17,D,2017,0.118,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,15.07,,-0.05,13.14,12.23,63.0,1.0
Quercus alba,12,B,2017,0.06,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,18.12,29.83,3.68,19.32,19.58,52.5,1.0
Quercus alba,12,B,2017,0.06,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,26.08,40.7,4.66,19.2,21.57,52.5,1.0
Quercus rubra,17,B,2017,0.111,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,23.92,35.04,3.35,25.83,14.66,115.5,0.0
Quercus alba,12,B,2017,0.06,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,18.12,29.83,3.68,19.32,19.58,52.5,1.0
Acer saccharum,13,A,2017,0.052,Low,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,20.66,,-0.58,10.16,10.87,52.5,1.0
Acer saccharum,14,C,2017,0.053,Low,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,16.5,,-0.08,11.36,11.62,52.5,1.0
Quercus alba,14,C,2017,0.053,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,17.11,28.75,3.67,19.16,20.22,52.5,1.0
Quercus alba,17,D,2017,0.118,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,10.83,36.24,5.26,21.46,18.14,115.5,0.0
Quercus alba,14,D,2016,0.059,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,27.91,41.55,4.6,19.15,22.41,52.5,1.0
Quercus alba,15,A,2016,0.087,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,19.31,23.28,4.99,18.69,22.02,52.5,1.0
Acer saccharum,15,C,2016,0.103,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,14.33,,-0.04,13.45,12.56,52.5,1.0
Quercus alba,16,A,2017,0.122,High,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,17.53,26.97,4.45,18.94,24.64,52.5,1.0
Quercus alba,16,C,2016,0.133,High,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,30.28,45.41,5.26,18.88,23.64,52.5,1.0
Quercus alba,16,D,2016,0.133,High,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,30.28,45.41,5.26,18.88,23.64,52.5,1.0
